PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominic  Thornely,39,0,0,0,0,0,0,0,0,0,0,0
Dwaraka  Ravi Teja,109,65,0,183,0,0,0,0,0,0,0,0
Dwayne  Bravo,178,218,61,11,371,121,8,195,99,0,141,80
Dwayne  Smith,45,215,22,0,157,418,566,399,324,239,0,0
Eklavya  Dwivedi,0,0,0,0,0,0,0,0,24,0,0,0
Eoin  Morgan,0,0,35,137,0,307,0,187,123,65,0,0
Evin  Lewis,0,0,0,0,0,0,0,0,0,0,382,48
Faf  du Plessis,0,0,0,0,398,0,303,380,206,8,162,396
Faiz  Fazal,0,0,164,0,0,0,0,0,0,0,0,0
Farhaan  Behardien,0,0,0,0,0,0,0,0,14,0,0,0
Gautam  Gambhir,534,286,277,378,590,406,335,327,501,498,85,0
George  Bailey,0,45,0,0,0,0,257,259,84,0,0,0
Glenn  Maxwell,0,0,0,0,6,36,552,145,179,310,169,0
Graeme  Smith,441,212,44,42,0,0,0,0,0,0,0,0
Graham  Napier,0,15,0,0,0,0,0,0,0,0,0,0
Gurkeerat  Mann Singh,0,0,0,0,86,108,0,35,113,0,0,98
Hanuma  Vihari,0,0,0,0,0,241,0,39,0,0,0,0
Harbhajan  Singh,30,84,105,103,108,116,28,117,92,16,29,1
Hardik  Pandya,0,0,0,0,0,0,0,112,44,250,260,402
Harpreet  Brar,0,0,0,0,0,0,0,0,0,0,0,20
Harshal  Patel,0,0,0,0,0,0,13,19,0,0,60,0
Hashim  Amla,0,0,0,0,0,0,0,0,157,420,0,0
Heinrich  Klaasen,0,0,0,0,0,0,0,0,0,0,57,0
Herschelle  Gibbs,167,371,267,0,81,0,0,0,0,0,0,0
Imran  Tahir,0,0,0,0,0,0,8,0,0,0,0,0
Iqbal  Abdulla,0,0,0,0,0,0,0,20,37,0,0,0
Irfan  Pathan,131,196,276,150,176,142,55,0,0,0,0,0
Ishan  Kishan,0,0,0,0,0,0,0,0,42,277,275,101
Ishank  Jaggi,0,0,0,28,0,0,0,0,0,33,0,0
Ishant  Sharma,0,16,0,0,0,0,0,0,0,0,0,10
JM  Kemp,0,0,26,0,0,0,0,0,0,0,0,0
JP  Duminy,0,372,157,205,244,0,410,414,191,0,36,0
Jacob  Oram,0,88,0,0,0,0,0,0,0,0,0,0
Jacques  Kallis,199,361,572,424,409,311,151,0,0,0,0,0
Jagadeesh  Arunkumar,23,0,0,0,0,0,0,0,0,0,0,0
