PLAYER,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dillon  du Preez,0,4,0,0,0,0,0,0,0,0,0,0
Dimitri  Mascarenhas,2,6,4,0,7,0,0,0,0,0,0,0
Dinesh  Salunkhe,1,0,0,0,0,0,0,0,0,0,0,0
Dirk  Nannes,0,15,7,2,0,4,0,0,0,0,0,0
Doddapaneni  Kalyankrishna,2,0,0,0,0,0,0,0,0,0,0,0
Dominic  Thornely,3,0,0,0,0,0,0,0,0,0,0,0
Domnic  Joseph,0,0,0,0,0,0,0,4,0,0,0,0
Doug  Bollinger,0,0,12,17,8,0,0,0,0,0,0,0
Doug  Bracewell,0,0,0,0,3,0,0,0,0,0,0,0
Dwaraka  Ravi Teja,1,0,0,0,0,0,0,0,0,0,0,0
Dwayne  Bravo,11,11,4,6,15,32,0,26,17,0,14,11
Dwayne  Smith,5,1,1,0,2,2,4,1,8,2,0,0
Gajendra  Singh,3,0,0,0,0,0,0,0,0,0,0,0
Glenn  Maxwell,0,0,0,0,1,0,1,2,0,7,5,0
Glenn  McGrath,12,0,0,0,0,0,0,0,0,0,0,0
Graham  Napier,0,1,0,0,0,0,0,0,0,0,0,0
Gurinder  Sandhu,0,0,0,0,0,0,0,1,0,0,0,0
Gurkeerat  Mann Singh,0,0,0,0,0,0,0,3,2,0,0,0
Hanuma  Vihari,0,0,0,0,0,1,0,0,0,0,0,0
Harbhajan  Singh,5,12,17,14,6,24,14,18,9,8,7,16
Hardik  Pandya,0,0,0,0,0,0,0,1,3,6,18,14
Hardus  Viljoen,0,0,0,0,0,0,0,0,0,0,0,7
Harmeet  Singh,0,0,0,0,0,1,0,0,0,0,0,0
Harmeet  Singh Bansal,0,3,8,3,6,5,0,0,0,0,0,0
Harpreet  Brar,0,0,0,0,0,0,0,0,0,0,0,0
Harry  Gurney,0,0,0,0,0,0,0,0,0,0,0,7
Harshal  Patel,0,0,0,0,9,0,4,17,1,3,7,2
Imran  Tahir,0,0,0,0,0,0,9,15,5,18,6,26
Iqbal  Abdulla,0,0,1,16,4,7,0,4,6,2,0,0
Irfan  Pathan,15,17,15,11,8,10,4,0,0,0,0,0
Ish  Sodhi,0,0,0,0,0,0,0,0,0,0,5,4
Ishant  Sharma,8,11,7,11,0,15,3,1,3,0,0,13
Ishwar  Pandey,0,0,0,0,0,0,6,11,0,0,0,0
JM  Kemp,0,0,3,0,0,0,0,0,0,0,0,0
JP  Duminy,0,4,1,4,1,0,3,8,2,0,0,0
Jacob  Oram,3,5,0,1,0,0,0,0,0,0,0,0
